[turntable] importing /home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/work_A/rogue_preview.glb
01:56:38 | INFO: Data are loaded, start creating Blender stuff
01:56:38 | INFO: Blender create Mesh node preview
01:56:38 | INFO: glTF import finished in 0.04s
[turntable] normalized: raw height 16383.00 m -> 1.75 m (scale 0.000)
[turntable] studio 3-point lighting rigged
Blender 4.2.3 LTS (hash 0e22e4fcea03 built 2024-10-14 23:31:34)
Fra:1 Mem:13.94M (Peak 13.94M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TurntableGround
Fra:1 Mem:13.95M (Peak 13.95M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | preview_mesh
Fra:1 Mem:18.43M (Peak 21.08M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:18.42M (Peak 21.08M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading metallicRoughness
Fra:1 Mem:18.42M (Peak 21.08M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading baseColor
Fra:1 Mem:26.09M (Peak 42.44M) | Time:00:00.04 | Mem:8.00M, Peak:8.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:26.09M (Peak 42.44M) | Time:00:00.04 | Mem:8.00M, Peak:8.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:26.09M (Peak 42.44M) | Time:00:00.04 | Mem:8.00M, Peak:8.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:26.09M (Peak 42.44M) | Time:00:00.04 | Mem:8.00M, Peak:8.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:26.18M (Peak 42.44M) | Time:00:00.04 | Mem:8.00M, Peak:8.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:26.18M (Peak 42.44M) | Time:00:00.04 | Mem:8.00M, Peak:8.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:26.18M (Peak 42.44M) | Time:00:00.04 | Mem:8.00M, Peak:8.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:26.18M (Peak 42.44M) | Time:00:00.04 | Mem:8.00M, Peak:8.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:26.18M (Peak 42.44M) | Time:00:00.04 | Mem:8.00M, Peak:8.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:26.18M (Peak 42.44M) | Time:00:00.04 | Mem:8.00M, Peak:8.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:26.18M (Peak 42.44M) | Time:00:00.04 | Mem:8.00M, Peak:8.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:26.18M (Peak 42.44M) | Time:00:00.04 | Mem:8.00M, Peak:8.00M | Scene, ViewLayer | Updating Particle Systems
