[turntable] importing /home/hatch/workspace/rpg-crawler-game/art-work/incoming/batch2/work_B/rigged_archer.glb
01:15:22 | INFO: Data are loaded, start creating Blender stuff
01:15:22 | INFO: Blender create Mesh node textured_mesh.obj
01:15:23 | INFO: glTF import finished in 1.65s
[turntable] normalized: raw height 1.75 m -> 1.75 m (scale 1.000)
[turntable] studio 3-point lighting rigged
Blender 4.2.3 LTS (hash 0e22e4fcea03 built 2024-10-14 23:31:34)
Fra:1 Mem:24.87M (Peak 24.87M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | textured_mesh.obj
Fra:1 Mem:27.05M (Peak 27.05M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TurntableGround
Fra:1 Mem:30.75M (Peak 42.15M) | Time:00:00.16 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:28.77M (Peak 42.15M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_1
Fra:1 Mem:28.77M (Peak 42.15M) | Time:00:00.17 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Images | Loading Image_0
Fra:1 Mem:60.33M (Peak 92.79M) | Time:00:00.82 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:60.34M (Peak 92.79M) | Time:00:00.82 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:60.34M (Peak 92.79M) | Time:00:00.82 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:60.34M (Peak 92.79M) | Time:00:00.82 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.83 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.83 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.83 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.83 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.85 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.85 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.85 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.85 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.85 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:60.42M (Peak 92.79M) | Time:00:00.85 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:60.71M (Peak 92.79M) | Time:00:00.85 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.86 | Mem:32.00M, Peak:32.00M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.86 | Mem:33.10M, Peak:33.10M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.86 | Mem:33.10M, Peak:33.10M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.86 | Mem:33.68M, Peak:33.68M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:61.81M (Peak 92.79M) | Time:00:00.88 | Mem:34.38M, Peak:34.96M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
